검색어,본문,날짜
"한혜진, 별장 무단침입 피해에 울타리 설치","홍천 별장서 사생활 침해 고통 호소""당황스럽고 무서워… 소리에 예민""한혜진이 27일 자신의 유튜브 채널에 무단침입 피해를 호소하는 영상을 올렸다. 유튜브 '한혜진' 캡처모델 겸 방송인 한혜진이 자신이 지은 강원 홍천군의 별장에 외부인이 무단침입하는 일이 늘고 있다며 피해를 호소했다.27일 유튜브 채널 '한혜진'에는 '별장 사생활 침해 문제 전부 말씀드립니다'라는 제목의 영상이 올라왔다. 한혜진은 영상에서 ""홍천 집이 (지은 지) 9~10개월 됐다. 집을 지으면서 시공사 쪽에서는 울타리와 대문을 하자는 이야기를 계속했다""며 ""그때는 안 하기로 결정했는데 최근 세 팀이나 집에 찾아오는 걸 보고 '울타리랑 대문을 왜 안 했지' (후회가 든다)""라고 말했다.한혜진은 최근 외부인이 별장으로 찾아오거나 무단침입하는 피해가 발생하고 있다고 털어놨다. 그는""집에서 대청소한 뒤 샤워하고 머리를 말리고 있는데 '탁' 하면서 차 문 닫는 소리가 나는 거다""라며 ""너무 무서웠다. 혼자 10초 동안 얼어 있었다""고 떠올렸다. 이어 ""옷을 주섬주섬 입고 나갔더니 아저씨, 아줌마 4명이 와 있었다. 마당을 둘러보고 있더라""라고 했다.놀란 한혜진은 곧바로 ""여기 들어오시면 안 된다. 죄송하지만 나가달라""고 말했다. 그러자 외부인들은 ""어머, 한혜진씨네""라고 답했다. 그는 수차례 부탁한 끝에 외부인들이 차를 빼고 이동했다며 ""나가면서 '이제 TV 안 볼 거다'라고 하시더라""라고 말했다. 한혜진은""'찾아오면 찾아오는 거지'라고 생각했는데 막상 실제로 경험하니까 많이 당황스러웠고 무서웠다""며 ""엄청 소리에 예민해진다""고 토로했다.""중년 부부, 마당에서 차 마셔"" 고백한혜진이 지난 4월 사회관계망서비스(SNS) 인스타그램에 한 차량이 별장에 들어온 사진을 올렸다. 온라인 커뮤니티 캡처앞서 한혜진은 여러 차례 사생활 침해 고통을 호소한 바 있다. 지난 1월에는 유튜브 채널 '짠한형 신동엽'에 출연해 자신의 별장 마당에 무단침입해 차를 마시는 중년 부부가 있었다고 밝혔다. 지난 4월에도 낯선 차량이 별장에 들어온 사진을 올리며 ""부탁드린다. 찾아오지 말아달라""고 했다.형법 제319조(주거침입죄)에 따르면 다른 사람의 주거지 등에 동의 없이 무단침입하는 경우 3년 이하 징역 또는 500만 원 이하 벌금에 처할 수 있다.한혜진은 추가적인 피해를 막기 위해 결국 별장의 보안을 강화했다. 그는 ""울타리를 치게 되면 감옥에 갇히는 기분이다. 서울에서 느끼던 걸 느끼고 싶지 않았다""라고 애초 울타리를 치지 않은 이유를 설명했다. 하지만 ""(최근 겪은 피해는) 대문을 달지 않고 사적인 영역을 표시하지 않은 내 잘못도 있다고 생각했다""고 말했다. 그러면서 보안업체의 도움을 받아 마당에 다수의 폐쇄회로(CC)TV와 울타리, 대문 등을 설치하는 모습을 공개했다.",2024.06.28
이해인 “연인 사이” 성추행 해명,"미성년 A선수 측 “목에 자국 남아 많이 당황” 입장에 대한 반박피겨스케이팅 여자 싱글 전 국가대표 이해인. 오른쪽 사진은 그가 성추행 피해를 주장하는 A선수와 나눈 문자메시지. 이해인 인스타그램 캡처해외 전지훈련 기간 술을 마시고 미성년자인 이성 후배를 성추행한 혐의로 대한빙상경기연맹으로부터 3년 자격정지 징계를 받은 피겨스케이팅 여자 싱글 전 국가대표 이해인(19·고려대)이 피해자와 나눈 문자메시지를 공개하며 연인 사이였다고 재차 주장하고 나섰다. 문제가 된 행동에 대해선 피해자가 먼저 제안한 것이라고 했다.앞서 이해인 본인이 신원을 밝히며 미성년 피해자인 A선수와 연인 사이였다는 입장을 밝힌 이후 A선수 측이 ‘관계 정립이 명확하게 이뤄지지 않은 상황에서 이해인의 성적 행위가 발행해 많이 당황했다’는 취지의 입장을 밝힌 데 대한 반박으로 풀이된다.이해인은 27일 밤 인스타그램 스토리(24시간 동안 노출되는 게시물)에 5월 21일과 24일에 A선수와 나눈 휴대전화 문자메시지 내용을 캡처해 올렸다. 5월 21일은 ‘다시 사귀기로 한 날’이었고 5월 24일은 ‘키스마크를 선생님이 보신 날’이라고 그는 설명했다.공개된 메시지에는 A선수가 5월 21일 “다른 사람이 다시 사귀냐고 물으면 안 사귄다고 해”라며 먼저 비밀 연애를 제안하는 내용이 담겼다. 또 5월 24일에는 전지훈련지에서의 만남을 자제하자면서 “키스마크는 내가 잘못했고 책임지는 게 당연하다”고 말한 내용이 적혔다. 이에 이해인은 “네가 해 달라고 해도 내가 하면 안 됐다. 어른이니까”라며 “내 생각이 짧았다”고 말하기도 했다.이해인과 성추행 피해를 주장하는 A선수가 나눈 문자메시지. 이해인 인스타그램 캡처이는 A선수 측의 입장문과 다소 배치되는 내용으로 읽힌다. A선수의 법률대리인 손원우 변호사는 이날 입장문을 내고 두 선수가 2023년 3개월간 교제한 뒤 이별했다가 지난달 해외 전지훈련 기간 이해인이 숙소로 불러 다시 만나보자는 제안을 했고, 그날 문제의 행위가 이뤄졌다고 밝혔다.A선수 측은 “(당시) 이해인이 A선수에게 키스마크에 대해 물어봤고 A선수가 잘 모르겠으니 해보라고 답했다. 그러자 이해인이 A선수 목에 입맞춤을 해 키스마크 자국을 남겼다”면서 “당시 A선수는 키스마크가 무엇인지 몰랐을 뿐 아니라 목에 자국이 남아서 많이 당황하고 놀라 곧바로 방에서 나왔다”고 주장했다.아울러 “A선수는 전지훈련 이후 귀국해 부모님께 이 사실을 알리고 이해인에게 이별을 통보했다. 그러다 이달 중순 이해인이 (다시) 비밀연애를 제안해 응했다”면서 “이후 이해인이 사후 증거 수집의 목적으로 해당 사건에 관해 질의해 피해자는 정신적으로 충격받았다. 현재 정신과 치료를 시작했다”고도 전했다.양측의 주장이 엇갈리는 상황이라 파장이 이어질 전망이다.해외 전지훈련 중 음주 및성추행논란피겨스케이팅 여자 싱글 전 국가대표 이해인. 뉴시스이해인의 성추행 논란은 지난달 15~28일 이탈리아 바레세에서 진행된 피겨 국가대표 전지훈련 도중 발생했다. 빙상연맹은 이해인과 또 다른 여자 피겨 국가대표 B선수가 전지훈련 기간 숙소에서 음주한 사실을 확인한 뒤 자체조사를 통해 이해인과 B선수가 A선수에게 성적 불쾌감을 주는 행동을 저지른 사실을 추가로 확인해 스포츠공정위원회를 열었다.스포츠공정위원회는 이 선수에게 음주와 성추행 혐의로 자격정지 3년 중징계를 내렸다. A선수에게는 이성 선수 숙소에 방문한 것이 강화 훈련 규정 위반이라고 판단해 견책 처분했다. B선수는 자격정지 1년 처분을 받았다.이해인의 법률대리인인 김가람 변호사는 “이해인은 전지훈련 기간 음주한 잘못에 관해 깊이 뉘우치고 반성하고 있다. 다만 성추행한 사실은 없다. 이해인과 해당 선수는 연인관계였으나 그 사실을 대한빙상경기연맹에 알리지 않아 연맹이 사실관계를 오인했다”면서 “연맹의 징계 결과에 대해 대한체육회 스포츠공정위원회에 재심의를 신청했다”고 이날 밝혔다.이해인 인스타그램 캡처이해인 본인도 이날 오전 개인 인스타그램을 통해 입장을 전했다. 그는 “술을 마신 것은 깊이 반성하고 있다. 다만 미성년자를 성추행했거나 성적 가해를 했다는 것은 사실이 아니다”라고 반박했다.이해인은 “(피해자는) 내가 고등학생일 때 사귄 남자친구였고, 부모님 반대로 헤어졌다가 이번 전지훈련에서 다시 만나게 됐다”며 “서로를 좋아했던 감정이 남아있어서 다시 사귀게 됐는데, 그 사실을 비밀로 했기 때문에 연맹 조사를 받을 때도 교제 사실을 말할 수 없었다. (성적 행위는) 연인 사이에 할 수 있는 장난이나 애정 표현이라고 생각했다”고 해명했다.이해인은 지난해 3월 국제빙상경기연맹(ISU) 피겨스케이팅 세계선수권대회 여자 싱글에서 은메달을 딴 한국 피겨의 간판급 선수다. 연맹의 징계 수위가 확정되면 그는 2026 밀라노·코르티나담페초 동계올림픽에 출전할 수 없다.연맹은 이해인과 B선수를 26일 스포츠윤리센터에 신고해 27일 조사가 시작됐다.",2024.06.28
"손웅정 ""손흥민 이미지 값이라며 수억 원 요구...돈 아깝냐더라""","ⓒYTN손웅정 감독이 운영하는 'SON축구아카데미'가 아동학대 사건에 휘말린 가운데, 손 감독 측은 합의금 수억 원을 거절하자 고소당했다고 주장했고 고소인 측인 이에 반박하고 나섰다.손 감독 법률대리인 법무법인 명륜 김형우 변호사는 27일 조선일보에 ""고소인 측은 합의금으로 수억 원을 받길 원했다""고 밝혔다.김 변호사에 따르면 손 감독은 사건이 알려지지 않도록 일반적인 민사재판 배상금 1,500만~3,000만 원 보다 높은 1억 원의 합의금을 주는 게 어떠냐는 김 변호사의 제안에 ""우리가 한 행동이 잘못됐다고 하면 그냥 처벌을 받겠다. 굳이 많은 돈을 주고 합의해 나쁜 선례를 만들 필요 없다""며 합의금 상한을 3,000만원으로 정했다.이에 반발한 피해자 측이 수억 원의 합의금을 요구하며 ""손흥민 선수가 세계적인 선수이고 광고며 이적료며 이미지 마케팅 하는 비용이 얼만데, 돈이 아까운 것이냐""는 취지로 말했다고 김 변호사는 주장했다.당시 손 감독은 ""이 사건을 왜 일반 사건하고 다르게 취급해야 하는지 모르겠다. 이는 흥민이와 전혀 별개 사건이다. 절대로 흥민이와 결부시키지 말라""고 당부한 것으로 전해졌다.A군 측은 이후 합의금을 조금씩 낮춰 가며 몇 차례 수정 제안을 해왔지만, 손 감독은 3,000만원을 고수했다. 그렇게 합의는 지난달 말 결렬됐다.김 변호사는 보도된 것과 같이 손 감독이 원생을 상대로 ""X 같은 XX"", ""죽여버리겠다"" 같은 말을 한 적은 없다며 ""손 감독은 평소 분위기가 느슨해지면 '이 XX들아, 너네 부모님이 주신 피같은 돈으로 여기까지 왔어. 정신 바짝차리고 하나라도 얻어가. 계속 이렇게 슬렁슬렁 경기 뛸꺼면 짐 싸서 집에 가. 내일부터는 똑바로 해. 알았어?'라는 식으로 독려한다. 이 과정에서 욕설이 나올 때도 있다""고 설명했다.체벌 역시 학부모들이 볼 수 있는 곳에서 이뤄졌다고 주장했다. 김 변호사는 ""체벌은 경기에서 졌기 때문이 아니었다. 처음으로 외국 전지훈련을 나오니 선수들 사이 들뜬 분위기가 계속됐다. 그래서 코치들이 분위기 전환이 필요하다 생각해 체력 훈련을 하게 됐다. 막바지에 선수들에게 '하프라인 찍고 20초 안에 안 들어오면 한 대 맞는다'라고 했고, 선수들도 동의했다. 20초 안에 들어오지 못한 선수들이 코너킥 플라스틱 봉으로 한 대 씩 맞은 것""이라고 했다.이에 A군 측은 ""처음부터 수억원을 얘기하며 합의하자고 한 사실은 완전히 반대 주장""이라며 반박했다.A군 측은 ""SON아카데미 측 변호사가 먼저 조건을 제시하고, 수억 원대로 액수를 올려가면서 합의를 종용했다""며 ""A군 부모가 마지막에 반발심에 '그럼 5억을 가져오던가'라고 이야기한 것이다. 먼저 액수를 제시하지는 않았다""라고 주장했다.디지털뉴스팀 이유나 기자",2024.06.28
"""故서세원, 나랑 살았으면 안 죽었다""…서정희 공황장애 고백",본문을 찾을 수 없습니다.,2024.06.29
"""허웅, 낙태 2번하는 동안 결혼 언급 안 해""…추가 폭로","피소된 전 애인 A 씨…허웅 ""결혼하려 했다"" 입장에 반박""임신 도중, 수술 직후에도 성관계 요구"" 주장하기도프로농구 선수 허웅을 협박한 혐의 등으로 피소된 전 연인 A 씨가 28일 ""임신중절을 두 번 하는 동안 허웅은 결혼 언급을 하지 않았다""라고 주장했습니다.허웅 측이 ""결혼하려 했었다""고 반박한 것에 대해 재반박한 겁니다.프로농구 선수 허웅. / 사진 = 연합뉴스A 씨는 어제(28일) 스포츠 매체와의 인터뷰에서 이 같이 주장했습니다.그는 ""2019년 12월과 2021년 5월 두 차례 인공임신중절술을 했다""면서 ""두 차례 임신중절 모두 허웅 강요로 인해 이뤄졌다""고 주장했습니다.이어 ""수술 당일 (보호자) 동의가 있어야 했기 때문에 동행한 것은 맞으나 이후 치료나 관리는 모두 혼자 감당했다. 수술비는 허웅이 지출했으나 이후 모든 진료비는 나 홀로 지출했다""고 강조했습니다.허웅의 숙소가 원주에 있었고, 허웅이 자신의 스케줄을 맞추기 위해 원주의 모 병원을 특정해 데려갔다는 게 A 씨의 설명입니다.A 씨는 허웅이 임신 중일 때와 임신 중절 직후에도 성관계를 요구했다 주장하기도 했습니다.그는 ""수술을 받은 뒤 담당 의사가 나와 허웅에게 '수술 직후 성관계를 하면 임신 재발 우려가 커지니 성관계를 자제하라'고 했으나 허웅은 완전히 이를 무시했다”고 주장했습니다.임신중절 수술 이후 3억 원을 요구했다는 허웅 측 입장에 대해선 ""임신 당시 임신중절 대가로 허웅이 먼저 제시한 금액인데 (당시) 이를 거부했었다""면서 ""허웅이 임신중절 이후 계속 책임을 회피해 먼저 그가 제시한 금액이 생각나 홧김에 말한 것이지 이후 돈을 받을 생각이 없다는 의사는 분명하게 전달했다""고 강조했습니다.양측의 주장이 첨예하게 갈리고 있는 만큼, 논란은 쉽게 사그라들지 않을 것으로 보입니다.",2024.06.29
'尹 탄핵 청원' 60만 돌파‥1만 명 몰리며 접속 폭주,"'윤석열 대통령이 이태원 참사 조작 가능성을 언급했다'는 김진표 전 국회의장의 회고록이 공개된 이후 윤 대통령 탄핵을 요구하는 국회 청원에 60만 명 넘는 국민이 동의하면서 접속 지연 사태까지 벌어지고 있습니다.국회 국민동의청원 사이트에 올라온 '윤석열 대통령 탄핵소추안 즉각 발의 요청에 관한 청원'에는 6월 29일 오후 기준으로 60만 명이 넘게 동의했습니다.청원 사이트에는 1만 명 이상 동시 접속자가 몰리면서 접속 지연 상황도 이어졌습니다.사이트에 접속하는 데만 길게는 1시간이 걸린다는 안내가 뜰 정도입니다.해당 대통령 탄핵 촉구 청원은 지난 20일부터 동의를 받기 시작했는데, 한 달 뒤인 7월 20일까지 국민 동의에 참여할 수 있습니다.청원인은 ""윤석열 대통령 취임 이후 대한민국은 총체적인 위기에 처해있다""며 ""채해병 특검과 김건희 특검 등에 대한 대통령의 거부권 행사로 민주주의의 근간이 흔들리고 있다, 대한민국을 위기로 몰아가고 반성할 줄 모르는 대통령을 더 두고 볼 수 없다""고 청원 취지를 밝혔습니다.그러면서 ""국민 안전, 국가 이익 수호라는 헌법정신을 부정하는 윤 대통령 탄핵 사유는 차고 넘친다""며 ""파국으로 치닫는 대한민국을 바로 세우기 위해 우리 국민은 윤석열 정권 탄핵을 명령한다""고 덧붙였습니다.국회 국민동의청원은 홈페이지 공개 후 30일 이내에 동의 인원이 5만 명이 넘어가면 관련 상임위에 올라가도록 돼 있는데, 해당 청원은 이미 지난 23일 기준 5만 명 이상 동의를 받아 국회 법제사법위원회에 회부됐습니다.",2024.06.29
"'尹 탄핵' 열흘만에 70만 돌파 ""어쩔거냐"" 야당에 물었더니‥","윤석열 대통령 탄핵을 요구하는 국회 온라인 청원에 동의한 국민이 청원 개시 열흘 만에 70만 명을 돌파했습니다.6월 30일 오후 2시 20분 기준, 국회 국민동의청원 사이트에 올라온 '윤석열 대통령 탄핵소추안 즉각 발의 요청에 관한 청원'에는 71만 명이 동의했습니다.해당 사이트는 접속 대기자가 1만 명 넘게 몰리고 예상 대기시간도 3시간이라고 나오는 등, 접속 지연 현상이 이어지고 있습니다.다만 접속 대기자 숫자도 빠르게 줄기 때문에 실제 대기시간은 20분 안팎입니다.청원인 권 모 씨는 지난 20일, ""대한민국을 위기로 몰아가고 반성할 줄 모르는 대통령을 더 두고 볼 수 없다""며 '박정훈 전 해병대 수사단장에 대한 외압 행사'와 '김건희 여사 일가의 비리' 등을 탄핵 5대 사유로 제시했습니다.해당 청원은 앞서 지난 23일, 동의 참여자 5만 명을 돌파해 국회 법사위에 회부돼 있는 상태였습니다.26일까지만 해도 20만 명가량이었던 동의 참여자는 다음날인 27일, 김진표 전 국회의장의 회고록에 쓰인 윤석열 대통령의 발언이 알려지며 폭증했습니다.회고록에는 2022년 12월 5일, 윤 대통령과 독대했을 때 윤 대통령이 이태원 참사를 두고 '특정 세력이 유도했을 가능성이 있다'는 취지의 발언을 했다는 내용이 담겨 있습니다.이렇게 탄핵 청원이 폭발적인 관심을 모으고 있지만, 탄핵안의 국회 통과를 주도할 민주당은 ""아직 공식 의제로 다루고 있진 않고 있다""며 일단 신중한 입장을 내놨습니다.[강유정/더불어민주당 원내대변인]""원내지도부 역시도 탄핵이라는 말을 꺼내는 순간 효력을 발생할 수 있는 의제가 되기 때문에, 지금 그 부분에 대해 집중적으로 논의한다거나 혹은 대응을 얘기하고 있진 않습니다. 만약에 대답해야 될 상황이 촉박하고, 해야만 한다면, 그 시점이 다가오긴 할 텐데요. 지금은 아직은 공식의제로 다루고 있진 않습니다.""반면 '3년은 너무 길다'는 선거 구호로 돌풍을 일으켰던 조국혁신당의 황운하 원내대표는 ""국정운영이 극우 유튜버 사고수준이라는 데 충격을 받은 국민들이 줄줄이 동참하고 있다""며 ""민심대폭발로 곧 100만, 머지않아 1,000만을 돌파할 것""이라고 주장했습니다.",2024.06.30
"""윤 대통령, '이상민 경질' 보고서에 격노""‥대통령실 ""사실과 달라""",본문을 찾을 수 없습니다.,2024.06.30
"‘김만배와 돈 거래’ 전 언론사 간부, 숨진 채 발견","김만배 씨[연합뉴스 자료 사진](서울·청주=연합뉴스) 장보인 이성민 기자 = 대장동 개발사업 민간업자 김만배 씨와 돈거래를 한 혐의를 받는 전 언론사 간부가 숨진 채 발견됐다.30일 경찰에 따르면 전직 한국일보 간부 A씨는 전날 밤 충북 단양의 야산에서 사망한 상태로 발견됐다.경찰 관계자는 ""29일 오후 A씨 동생으로부터 실종신고를 접수한 뒤 휴대전화 위치 추적을 통해 A씨를 발견했다""고 전했다.A씨는 2020년 5월 주택 매입자금을 마련할 목적으로 김씨로부터 1억원을 빌린 사실이 확인돼 작년 1월 해고됐다. A씨는 ""사인 간 정상적인 금전소비대차 계약 행위""라고 주장하며 불복 소송을 냈으나 지난 14일 열린 1심에서 패소했다.A씨는 김씨와의 돈거래로 검찰 수사도 받고 있다. 검찰은 A씨가 김씨로부터 돈거래를 대가로 대장동 일당에 우호적인 기사를 작성하거나 불리한 기사를 막아달라는 청탁을 받았다고 의심하고 지난 4월 18일 그를 압수수색했다.※ 우울감 등 말하기 어려운 고민이 있거나 주변에 이런 어려움을 겪는 가족·지인이 있을 경우 자살예방 상담전화 ☎109에서 24시간 전문가의 상담을 받을 수 있습니다.ksw08@yna.co.kr",2024.06.30
서울 시청역 교차로 대형 교통사고 발생… 사망 6명·심정지 3명,"1일 밤 대형 교통사고가 발생한 서울 시청역 인근 교차로에서 경찰이 완전히 파괴된 차량 한 대 주변을 통제하고 있다. 연합뉴스서울 시청역 앞 교통사고로 인한 사망자가 9명으로 늘었다.서울 중부소방서는 1일 밤 11시40분 2차 언론브리핑을 통해 “병원으로 이송했던 중상자 3명이 병원에서 최종 사망 판정을 받아 사망자는 총 9명으로 늘었다”고 밝혔다.이날 오후 9시 27분쯤 서울 시청역 인근 교차로에서 차량이 인도로 돌진하는 대형 교통사고가 발생했다. 경찰과 소방당국에 따르면 이 사고로 9명이 숨지고 4명이 다쳤다. 사망자 9명 중 6명은 현장에서 사망했고, 3명은 심정지 상태로 병원에 이송됐다가 사망 판정을 받았다. 부상자 4명 중 1명은 중상이며 3명은 경상이다. 부상자들은 모두 인근 병원으로 이송됐다.[속보]서울 시청역 앞 차량 돌진 “대포처럼 큰 소리”…경찰 “운전자, 급발진 주장”서울 중구 태평로 부근에서 일어난 교통사고로 다수의 사상자가 발생했다. 중부소방서는 1일 오후 9시27분쯤 시청역 교차로에서 난 교통사고로 다수의 사상자가 발생했다고 밝혔다....https://www.khan.co.kr/national/national-general/article/202407012224001[전문]‘서울 시청역 앞 교통사고’ 1차 브리핑···“아직 동승자·음주 파악 안돼”서울 중구청과 중부소방서가 1일 밤 서울 중구 태평로 부근에서 일어난 교통사고로 다수의 사상자가 발생한 사고와 관련해 1차 브리핑을 했다. 다음은 언론 브리핑 전문. ■중부소...https://www.khan.co.kr/national/national-general/article/202407012318001",2024.07.01
